Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Amigos para la Conservacion de Cabo Pulmo,ACHDSPDE,,,,"$1,185",$160,"$1,345",,
Al-Salam Day School,ALQFCCDY,Tier 6 (<$5K),,,$0,"$1,337","$1,337",Education,K-12 Education
Powerhouse Patriots,AWPTANEJ,Tier 6 (<$5K),F19,99-3464235,"$1,334",$0,"$1,334",,
US OHV Alliance,APWWTKDF,,B90,39-2736487,$54,"$1,277","$1,331",,
Muslim Food Bank & Community Services,AFURNHMS,,P20: Human Service Organizations,86-1954004,$357,$968,"$1,325",Human Services,Human Services - General
Alaska Wilderness League,AHLFQBZB,,C013,52-1814742,$0,"$1,320","$1,320",Environment,Environment - General
Next Generation Ministry,AYSZBYGK,Tier 6 (<$5K),X20,39-3545698,$0,"$1,320","$1,320",Religion,Religion - Christian
Cord,ALLZRZMT,,,,"$1,235",$84,"$1,319",,
Karrabing Indigenous Corporation,ARMCCNDT,Tier 6 (<$5K),,,"$1,060",$253,"$1,313",Human Services,Human Services - Sports & Youth Development
Resgate 4 Patas,AMHGWMDE,,,,$32,"$1,278","$1,310",,
New Mexico Interscholastic Cycling League,ACKSXHHX,,,,"$1,298",$0,"$1,298",,
AIMS,AXEQUKSG,,P30,35-2507087,"$1,048",$249,"$1,297",,
Ping Pong for Good,AHPGKUVY,Tier 6 (<$5K),,,$0,"$1,296","$1,296",Public and Society Benefit,Public & Society Benefit - General
Amelie and Daniel Linsey Foundation,AEPERTKH,Tier 6 (<$5K),,,"$1,133",$162,"$1,295",Healthcare,Healthcare - General
The Kenneth Lockett Foundation,ASXQBNGH,,B90,99-4942150,"$1,284",$0,"$1,284",Education,Education - General
Scheer Memorial Adventist Hospital,AKZWFUYX,,,,"$1,284",$0,"$1,284",,
Layla's Legacy Foundation,ASMZDJPD,Tier 6 (<$5K),G48,82-3861890,$636,$646,"$1,282",Healthcare,Healthcare - General
ASPIRE for Hope Society,ASJDMJTV,,,,"$1,126",$145,"$1,271",,
Active Prospects,AHQPWJYY,,,,"$1,057",$207,"$1,265",,
Stronghold Freedom Foundation,APYDJDJC,Tier 6 (<$5K),W30,84-4602628,$793,$470,"$1,262",Public and Society Benefit,Public & Society Benefit - General
Georgia Wing,AWMPBDRA,,,,$396,$865,"$1,260",,
Los Niños del Capitan,AMNJBSDP,,,,$0,"$1,259","$1,259",,
FIRM / Morning Star Fellowship,APWTJFFW,,,,$0,"$1,259","$1,259",,
Friends of Noma Dogs Inc,ALFPTPPJ,Tier 5 ($5K–10K),W99,81-4022291,$208,"$1,048","$1,256",Public and Society Benefit,Public & Society Benefit - General
Every State,ADGMVRWZ,,,,"$1,256",$0,"$1,256",,
Wisconsin Family Ties,APJKLBQQ,Tier 6 (<$5K),,39-1626869,$864,$391,"$1,255",Public and Society Benefit,Public & Society Benefit - General
UN Foundation Girls and Women,ABLSGVJS,,,,"$1,249",$0,"$1,249",,
Sea Shepherd Greece,AWMJYTQG,,,,$647,$601,"$1,249",,
Restoration And Empowerment For Social Transition Centre,AVFCPEFH,,,,"$1,157",$89,"$1,246",,
Fire Service Psychology Association,ACAMRNAM,,,,"$1,246",$0,"$1,246",Public and Society Benefit,Public & Society Benefit - General
North Carolina Interscholastic Cycling League,AVDSKBYE,,,93-4157559,$984,$259,"$1,244",,
Klub za ekspedicionizam i kulturu,AFWGGEPM,Tier 6 (<$5K),,,"$1,241",$0,"$1,241",,
The Makhosi Foundation,ARQJADTY,Tier 5 ($5K–10K),,,$0,"$1,240","$1,240",Arts & Culture,Arts & Culture - General
Married for a Purpose,ACEEQKGL,Tier 6 (<$5K),,,$0,"$1,240","$1,240",Religion,Religion - General
South Bay YIMBY,ALHAGFAP,,,,$0,"$1,232","$1,232",,
Myriad Canada,AUQYKGWL,,,,$0,"$1,229","$1,229",,
Grace Medical Outreach Ministry,ARFUCZDQ,Tier 6 (<$5K),E60,27-1085112,$0,"$1,220","$1,220",,
Montana Interscholastic Cycling League,AEZULEJZ,,,,$264,$953,"$1,218",,
Change the World Films,ACHSZLEH,Tier 6 (<$5K),A99,46-2466259,"$1,195",$22,"$1,216",,
Restoration From Zion,ABGNMJKB,,,,"$1,086",$129,"$1,215",,
Crosswinds Foundation dba The Thrive Foundation,ADHQMYNR,,,,"$1,215",$0,"$1,215",Arts & Culture,Arts & Culture - General
Inspire Change Clinic,AEXQBUNR,,,93-4387798,"$1,215",$0,"$1,215",,
Rebuilding Together Broward County,AHTBQMQD,Tier 6 (<$5K),L20,86-1065925,$180,"$1,034","$1,214",Human Services,"Human Services - Housing, Shelter"
Birch Rock Camp,APYLGJSQ,Tier 6 (<$5K),N20Z,01-0376696,$0,"$1,213","$1,213",Human Services,Human Services - Sports & Youth Development
JRS East Africa,ACLQWSLG,,,,$25,"$1,186","$1,211",,
Unidos Contra El Cáncer,ASCBRLZS,,,,$0,"$1,206","$1,206",,
Bristol Energy Cooperative,AMQRZNMY,,,,$565,$640,"$1,205",,
TúTomorrow,AYURHAUB,,,,"$1,204",$0,"$1,204",,
Kings In Christ,AHCNQHNE,,X20,93-3444462,$0,"$1,203","$1,203",Religion,Religion - Christian
Fauna & Flora US,AEAAUNRM,Tier 3 ($20K–$50K),,,$0,"$1,203","$1,203",,
El Directorio Guatemala,ASZAPUWQ,,,,"$1,091",$111,"$1,202",,
Kochavim,APUBKULH,Tier 6 (<$5K),B24,84-2513707,$600,$600,"$1,200",Education,K-12 Education
CISNA,AEUBDTEE,Tier 6 (<$5K),,,$0,"$1,200","$1,200",,
Moige,ACYRWRJM,,,,$421,$769,"$1,190",,
The Mountain Retreat,AKFGYWRD,,,,"$1,189",$0,"$1,189",,
Black Sisters in STEM,AQNLDHMW,,,,$943,$246,"$1,189",,
Westminster Public Schools,AFKHKXFY,Tier 6 (<$5K),B112,84-1088489,"$1,187",$0,"$1,187",,
Special Projects Fund Latina Giving Circle,AKMQPGZN,,,,"$1,179",$0,"$1,179",,
Boyd Lyon Sea Turtle Fund,AKDCJDFX,,,,"$1,173",$0,"$1,173",,
The Pastures Retreat,AXUWYNNX,,,,"$1,167",$0,"$1,167",,
BRAC International,AKNKRMYL,,,,"$1,103",$50,"$1,153",International Affairs,International Affairs - General
Michael O.D. Brown Foundation,AJSXVYZW,Tier 4 ($10K–$20K),,,$603,$548,"$1,151",Human Services,Human Services - General
DRMAC,ATLKTWCG,,,,"$1,032",$112,"$1,144",,
Water & Sanitation for the Urban Poor,ANLTMCQE,Tier 6 (<$5K),,,$23,"$1,118","$1,141",,
Northern Neighbors,AGWXFZAG,,,,$0,"$1,141","$1,141",,
PetHub Gives (dba EveryPet Charity),AFFGXJUL,Tier 5 ($5K–10K),,,$260,$869,"$1,129",,
Continuo Foundation,AYEZNFLE,,,,$858,$267,"$1,126",,
Bangladesh Rural Primary Health Initiative,ALQSYSGQ,,,,$991,$129,"$1,120",,
Kijani Forestry,AVWSFDTV,Tier 6 (<$5K),,,$0,"$1,119","$1,119",Education,K-12 Education
Farm To Field,APVKSUTD,Tier 6 (<$5K),,,"$1,116",$0,"$1,116",Human Services,Human Services - General
"HEAL Raising Our World Foundation, Inc.",AYFYYTTZ,Tier 6 (<$5K),Q33,75-3266290,$0,"$1,112","$1,112",International Affairs,International Affairs - General
Islamic Society of Greater Valley Forge,AAPAXLBQ,Tier 6 (<$5K),X00: Religion: General,23-2624144,$0,"$1,111","$1,111",Religion,Religion - General
Seattle YIMBY,AZHSZWXZ,,,,$0,"$1,110","$1,110",,
Highest Hopes Foundation,AQGKZXKZ,,,,$21,"$1,088","$1,109",,
Broken Into Purpose,ADHGTQFD,,F01,92-0422741,"$1,108",$0,"$1,108",Human Services,Human Services - General
Relief Operations International,AJZSDMZE,,,,$117,$991,"$1,108",Human Services,Human Services - General
Maryvale Academy of Ottawa,ATSEUJPV,Tier 6 (<$5K),,,$0,"$1,106","$1,106",,
The James Madison Institute,APQCGHFE,Tier 6 (<$5K),W20: Government and Public Administration,59-2811908,$0,"$1,101","$1,101",Public and Society Benefit,Public & Society Benefit - General
The Singer's Gym,AAJCYSWZ,Tier 6 (<$5K),,,"$1,100",$0,"$1,100",,
All One Rescue,ALYTMRHZ,Tier 6 (<$5K),,,$160,$936,"$1,096",,
Sager Family Farm's Big Buzz About Bees,APLSDHXJ,,,,$705,$390,"$1,095",,
Pennsylvania Wing,AARTEXHF,,,,"$1,092",$0,"$1,092",,
BAFTA,AVYZGTKY,Tier 6 (<$5K),,,$997,$94,"$1,091",,
Fresh Routes,ATPQPJZX,Tier 6 (<$5K),P20,82-4376079,"$1,052",$38,"$1,089",,
"Jesus for Asia, Inc.",ANPDPMNM,Tier 4 ($10K–$20K),X20,20-2655876,$0,"$1,089","$1,089",Religion,Religion - Christian
The Organization of Muslim Gentlemen,ANKAKJWN,,X40,33-2814688,"$1,087",$0,"$1,087",Religion,Religion - Islamic
8th Amendment Project,AZUJPDVN,,,,$913,$173,"$1,085",,
Psarras Foundation,AFEQBASA,,P99,39-3257906,"$1,082",$0,"$1,082",,
Skyline Lodge,ARNKMLTT,,L99Z,81-0306513,"$1,078",$0,"$1,078",,
Your Hearing Dog Inc,AAGNLPKE,,D99,88-3587692,"$1,076",$0,"$1,076",Animal Welfare,Animal Welfare - General
Dysunderstood,AJNBCBVR,,G99,33-1767095,"$1,076",$0,"$1,076",,
Highland Lakes Habitat for Humanity,ASWSMLSH,Tier 5 ($5K–10K),L20Z,74-2702355,"$1,073",$0,"$1,073",Human Services,"Human Services - Housing, Shelter"
Sheridan Rising Together For Equity,AKRMATJN,,,,"$1,071",$0,"$1,071",,
Vermont Wing,ADLQAUNV,,,,"$1,070",$0,"$1,070",,
Burnaway,AWJKRHPM,Tier 6 (<$5K),A70,27-1057775,"$1,068",$0,"$1,068",Arts & Culture,Arts & Culture - Media
Threatened Species Conservancy,AXMFRVCY,,,,$590,$476,"$1,066",,
The Tekoa Project,AKEZDSLM,Tier 6 (<$5K),,,$0,"$1,064","$1,064",Environment,Environment - General
Stop TB Partnership,AXBKDEQB,,,,"$1,062",$0,"$1,062",,
Resolution Movement,AEJTWFMC,,X20,39-2425467,$803,$256,"$1,059",Religion,Religion - Christian
Wildlife Corridor Foundation,ALTXVZGQ,,,,"$1,059",$0,"$1,059",,
Future Tree Foundation,AKDDBAMP,,,,"$1,059",$0,"$1,059",,
Building Equity and Alignment for Environmental Justice (BEA),ARTQGTBH,,,,"$1,053",$0,"$1,053",,
YIMBY Oakland County,ALGSTBRD,,,,$0,"$1,049","$1,049",,
Associazione Luisa Monti ODV,AALHWUNP,Tier 6 (<$5K),,,$0,"$1,046","$1,046",Public and Society Benefit,Public & Society Benefit - General
Red de Observadores Ciudadanos,ABDCHSLD,,,,$0,"$1,046","$1,046",,
Irish Cultural Centre Hammersmith,AXALZEDV,Tier 4 ($10K–$20K),,,$369,$674,"$1,043",Arts & Culture,Arts & Culture - General
Uncharitable Movie,AKTGGHUY,Tier 6 (<$5K),,,$44,$997,"$1,041",,
FIRM / HaMaayan Congregation,AKNDNYZF,,,,"$1,012",$20,"$1,032",,
Help Them Thrive,ASSBFRJF,Tier 6 (<$5K),O12,88-3396328,$0,"$1,031","$1,031",Human Services,Human Services - Sports & Youth Development
WTDR Dance Company,ARFDMYYD,Tier 6 (<$5K),,,$162,$864,"$1,026",,
Vivamos Mejor Guatemala,AJMURAZH,,,,"$1,011",$11,"$1,022",,
Truckee Community Theater,ADVWVCQJ,Tier 6 (<$5K),A65: Theater,47-3251761,$806,$215,"$1,021",Arts & Culture,Arts & Culture - General
Gods Way Foundation,ARMVUBNM,,X20: Christian,82-3390958,"$1,016",$0,"$1,016",Religion,Religion - Christian
Passages Connecting Fathers and Families,AGMMBAWS,Tier 4 ($10K–$20K),,,$678,$325,"$1,003",,
Nettleham Woodland ​Trust,AGGYUMJU,,,,$855,$146,"$1,001",,
Conversation Over Borders,ALZVMGTG,,,,$920,$80,"$1,000",,
Discipled Church,ABSTHSXC,Tier 5 ($5K–10K),X20,87-4340285,$535,$460,$995,Religion,Religion - Christian
Urban Tech Hero,AFCQDFWY,Tier 5 ($5K–10K),,,$994,$0,$994,,
Press Banner,AMJUJLFK,,,,$81,$912,$994,,
Adaptive Adventures,ADXYUDNG,,E860,84-1512653,$992,$0,$992,Human Services,Human Services - Sports & Youth Development
Code For Life,AVFXLPHN,Tier 5 ($5K–10K),,,$927,$54,$981,,
Weston Frontlines Centre,AWVBAMJA,,,,$981,$0,$981,,
Louisville Public Media,AMQSAJSW,Tier 2 ($50K–$100K),,,$0,$979,$979,Arts & Culture,Arts & Culture - Media
Native Plant Community Gardens Partnership,AUNANKDW,,,,$909,$68,$977,,
Cursinho FGV,AGHSMCSW,Tier 6 (<$5K),,,$0,$975,$975,,
Wellspring Christian Family Schools,ABFFZGZP,Tier 6 (<$5K),,,$974,$0,$974,Education,K-12 Education
India Interest Group,AAKWPPLW,,,,$973,$0,$973,,
Dallas Neighbors for Housing,AYMHTBVM,,,,$0,$968,$968,,
Ducks on a Mission,ATRDSWDV,Tier 6 (<$5K),P99,87-2571307,$881,$86,$967,,
Shalom Media Germany,AKEKWYHC,,,,$897,$69,$967,,
The EverWell International Scholarship,ABPNBUAX,,,,$738,$229,$967,,
Camp Aldersgate,ALRVMTEE,Tier 6 (<$5K),,,$0,$963,$963,Human Services,Human Services - Sports & Youth Development
Zach Hoefler Memorial Trust,AMDDGMHF,,P20,83-2778277,$720,$239,$959,,
Shalom World,AKKSRCBW,Tier 3 ($20K–$50K),X30: Jewish,,$0,$959,$959,Religion,Religion - Jewish
East Bay YIMBY,ARUCZJZN,,,,$0,$958,$958,,
Aseda Academy,AJXVESUW,,,,$930,$27,$958,,
Unravel Healthcare Alliance,AZHNFGZS,,E62,33-3659832,$957,$0,$957,,
Bullens Heimann & Friends Foundation,ALRWZAME,Tier 5 ($5K–10K),,,$343,$608,$952,Environment,Environment - General
WE AID gGmbH,AECLQNPP,,,,$905,$44,$948,,
Blue Alliance Philippines,AHPLDTNN,Tier 6 (<$5K),,,$384,$557,$941,,
The Goonj Foundation,ABJVHCTA,Tier 6 (<$5K),S99,88-2374888,$611,$326,$937,Public and Society Benefit,Public & Society Benefit - General
Help Group,ARMJDMTW,,P20: Human Service Organizations,46-4834197,$936,$0,$936,Human Services,Human Services - General
Spoons,ADSBEBBD,Tier 6 (<$5K),,,$0,$935,$935,,
Cancer Guide Research Foundation,AEVCCGMU,Tier 6 (<$5K),H30,20-4461836,$49,$883,$932,Healthcare,Healthcare - General
Mustard Seed Global,APYLKSJU,Tier 6 (<$5K),E99,93-4589168,$764,$161,$925,Healthcare,Healthcare - General
Lady Freethinker,AKRAMBAG,Tier 3 ($20K–$50K),R20,47-4213802,$0,$920,$920,Human Services,"Human Services - Civil Rights, Social Justice"
Oklahoma Interscholastic Cycling League,ACJDCCTH,,,,$643,$275,$918,,
Hope for Ukraine,ABNNUBTH,,,,$868,$50,$918,,
The Salvation Army Silicon Valley,AJXWVULQ,Tier 5 ($5K–10K),,,$143,$775,$918,,
1A Najam Institure - DE,AVDNSGKV,,,,$866,$47,$913,,
Native Evangelical Fellowship of Canada (NEFC),APTYJWEU,,,,$913,$0,$913,,
Together For Timnath,ASHJPVYY,,,,$0,$909,$909,,
ALIAS Chamber Ensemble,ABEFYGNC,,A6C,20-1247243,$0,$901,$901,Arts & Culture,Arts & Culture - General
PrevenCasa,AWCLVUYJ,,,,$0,$893,$893,,
Start Lighthouse,AANYTUNF,Tier 6 (<$5K),B99,85-2137528,$297,$594,$891,Education,Education - General
Dr. Bill Lewis Center for Children,AMXVDGXU,,,,$404,$487,$891,,
The Yarns Men,AAWWHXGG,Tier 6 (<$5K),,,$565,$324,$889,,
CatalyticAction,AFLTKPRE,Tier 6 (<$5K),,,$702,$180,$882,,
Go Amber,ACLSFNHW,,,,$0,$879,$879,,
Hostelling International USA,AUPBBQNS,Tier 6 (<$5K),,,$0,$876,$876,International Affairs,International Affairs - General
TruFund,AYNBURWR,Tier 4 ($10K–$20K),,,$868,$0,$868,,
MetroWest Writers' Guild,ARMVTTUQ,,A20,87-3434630,$850,$16,$866,,
Face Equality International,AFSHBYNR,,,,$856,$9,$865,,
Kearney Community Sustainable Housing,AZSKESKJ,,L21: Public Housing Facilities,92-1948935,$865,$0,$865,Human Services,"Human Services - Housing, Shelter"
Commonwealth Cultural Foundation,ABXMJSPR,Tier 6 (<$5K),O55: Youth Development-Religious Leadership,87-3132714,$302,$562,$865,Human Services,Human Services - Sports & Youth Development
VOA Puerto Rico,AHKELJHL,,P20: Human Service Organizations,,$864,$0,$864,Human Services,Human Services - General
Just Treatment,AWAEDNAP,Tier 5 ($5K–10K),,,$606,$258,$864,Human Services,Human Services - General
Street Soccer USA - NY,AJDXEKSV,,,,$750,$111,$861,,
Arkansas Wing,AHWZQFAH,,,,$859,$0,$859,,
"Sustainable CT, Inc",AFJJHSML,Tier 6 (<$5K),B99,82-4894473,$0,$858,$858,Environment,Environment - General
Saferworld,AKZAYFVY,,,,$806,$52,$858,,
Istoria Foundation,AUXEVXUK,,A20,87-4735700,$850,$0,$850,,
Tequio Jurídico,AGRGMFQR,,,,$156,$693,$848,,
The River Retreat,AECYEGQG,,,,$744,$100,$844,,
Southern California Public Radio,AQKSMLWH,Tier 3 ($20K–$50K),A340,95-4765734,$645,$199,$843,,
Court 16 Foundation,AWYQUCYE,Tier 6 (<$5K),,,$842,$0,$842,Human Services,Human Services - Sports & Youth Development
Rehema for Kids,AQFKUAAT,Tier 4 ($10K–$20K),,,$0,$840,$840,Human Services,Human Services - General
Minority Wealth Gap,AVVMTGJU,,,,$838,$0,$838,Human Services,"Human Services - Civil Rights, Social Justice"
Espiral por la Vida A. C.,AHRZQLDC,,,,$76,$756,$832,,
Louie's Trust,ABABCRDP,Tier 5 ($5K–10K),,,$771,$60,$831,,
Colorado Wing,AMZRQECY,,,,$318,$513,$831,,
Trash4Tokens,ALSAQDBN,Tier 6 (<$5K),,,$656,$171,$827,Human Services,Human Services - Sports & Youth Development
Kind Kulture,AGJZZYJH,Tier 6 (<$5K),,,$590,$236,$827,,
Maoz Israel (Germany),AKTWQHFU,,,,$672,$146,$818,,
讚美之泉[新加坡SG部門],ALUXFDAA,,,,$397,$415,$812,,
High Valley Community Center,AEQLQSFB,Tier 6 (<$5K),N31,84-1599061,$0,$811,$811,,
Brothers Building A Better Nation,ARGQMYJP,,J02,85-2939456,$701,$110,$810,Public and Society Benefit,"Public & Society Benefit - Employment, Job"
Youth Market | American Heart Association,ABWDLBTL,,,,$340,$469,$810,,
Brilliant Labs,AVFQFSGC,Tier 6 (<$5K),,,$386,$422,$808,,
Together for Mental Wellbeing,AZHLWUUG,Tier 6 (<$5K),,,$807,$0,$807,,
Halal Meat Monitoring Initiative,AGTTYAKG,,X99,99-1271773,$806,$0,$806,,
Ok Buddy Foundation,ANHCUAFM,,B90,99-0745821,$654,$148,$803,,
Al Amal International Charity,AABMSKWH,,,,$0,$802,$802,,
Mass Liberation Network,AQPWGEQR,,,,$424,$378,$802,,
ALL IN: WellBeing First for Healthcare,ALPGDMJW,,,,$0,$797,$797,,
PETA UK,ABWXCVGM,Tier 3 ($20K–$50K),,,$0,$795,$795,,
Maudsley Charity,AFALELPX,,,,$794,$0,$794,,
Priority Wellness Campaign,ANSTAATS,,F01,88-4203155,$287,$507,$793,Healthcare,"Healthcare - Mental Health, Abuse"
Harford Chabad,AHZPCTWT,Tier 6 (<$5K),,,$166,$627,$793,,
Casagua,ARCVLFVM,,,,$735,$53,$788,,
Understand the Quran Foundation,ALUSQSDR,,,,$108,$680,$788,,
Chapters of NLGJA: The Association of LGBTQ+ Journalists,AWDSZGFX,,,,$785,$0,$785,,
The Resource Alliance,ADTMMPXX,Tier 6 (<$5K),W99,99-4617922,$784,$0,$784,,
Voices Of Liberation Inc.,AHLPGKAL,Tier 6 (<$5K),,87-2264137,$0,$776,$776,Human Services,"Human Services - Civil Rights, Social Justice"
American Stroke Association | American Heart Association,AKEQKCVG,,,,$315,$460,$774,,
Rhode Island Wing,AGYDSKQV,,,,$124,$646,$770,,
Compass Europe,ARHEVBMK,,,,$612,$156,$768,,
Pelayo Foundation,ADFQLUDK,Tier 6 (<$5K),A20,92-3663282,$700,$64,$764,,
Missing Persons Center,AQJVBTDS,Tier 6 (<$5K),I01,84-5170525,$350,$412,$762,Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
The Hollywood Reporter Women in Entertainment Mentorship Program,AACAJYDB,,,,$760,$0,$760,,
Bunker Labs,ADUSMJFY,Tier 4 ($10K–$20K),,,$0,$749,$749,Public and Society Benefit,Public & Society Benefit - General
Christ-Centered Ministries,AEJZPPTT,Tier 6 (<$5K),,,$425,$321,$746,,
Bader Hillel High,AZHUVPUX,Tier 6 (<$5K),B25,82-3683003,$0,$746,$746,Education,K-12 Education
Maroochy Neighbourhood Centre Inc,AHFVNSCL,,,,$710,$36,$746,,
ALIMA UK,AYLZWKLG,,,,$634,$111,$745,,
Fundación Pondera Global,AVBNVASQ,,,,$420,$324,$744,,
Global Commissionary Network,AKZDLJYM,,,,$671,$71,$742,,
UNICEF Ireland,AKPZBTVK,Tier 3 ($20K–$50K),,,$0,$738,$738,,
All 4 The Members,AJDYRZNG,Tier 6 (<$5K),P81,92-1730833,$197,$538,$735,Human Services,"Human Services - Housing, Shelter"
Mind Your Plastic,AEWZUWVD,Tier 5 ($5K–10K),,,$0,$735,$735,,
"Garaged Community Foundation, Inc",ASUBXPRK,,S12,99-4132045,$734,$0,$734,Public and Society Benefit,Public & Society Benefit - General
Arizona Wing,APTWCTRP,,,,$535,$197,$732,,
World Spine Care Europe,ATLSNMRY,,,,$727,$0,$727,,
Ohio Wing,ANWSLRGQ,,,,$268,$454,$722,,
Everhart Museum,AMTXZPUH,Tier 6 (<$5K),,,$0,$715,$715,,
Fondazione MedReAct ETS,ABKVASGV,Tier 6 (<$5K),,,$262,$452,$714,,
The African Diaspora Group,ABUWGGQJ,Tier 6 (<$5K),P20,85-1427247,$243,$466,$709,Human Services,Human Services - General
Project Sweet Peas (Pittsburgh),AFSNPHHK,,,,$703,$0,$703,,
Fedecan,AMHBMQHJ,Tier 6 (<$5K),,,$385,$318,$703,,
Wocstar Media Foundation,ABQPSVBK,,,,$0,$702,$702,,
Beyond Animal Research Charitable Trust,AYQHRWYB,,,,$176,$526,$702,,
Full Circle Fund,ADFUJXEL,,T30,94-3373850,$700,$0,$700,,
Freedom Collaborative,AXNLFTUH,,Q02,87-2681646,$688,$0,$688,,
Reimagine Reentry,AMMFCUEN,Tier 6 (<$5K),P80,85-3579927,$11,$672,$683,Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Global Livingston Institute,AMDXVAXG,Tier 6 (<$5K),A25,45-4683531,$0,$680,$680,International Affairs,International Affairs - General
FND Hope USA,ABZXUMVD,,,,$0,$677,$677,,
University of Virginia FeelGood,AVMMZLNA,,,,$677,$0,$677,,
Alberta Foster and Kinship Association,ANLERMVP,,,,$667,$0,$667,,
The ROI² Foundation,ALDHZLJG,,Z99Z,81-0481055,$265,$400,$665,,
Habitat for Humanity Greater Vancouver,AZYAVTGR,Tier 4 ($10K–$20K),,,$38,$627,$664,,
Cancer Council Victoria,AHVCWSEW,Tier 2 ($50K–$100K),,,$656,$0,$656,,
Anima Lefkada,ASKMFPQJ,Tier 6 (<$5K),,,$0,$650,$650,International Affairs,International Affairs - General
Arlington Museum of Art,ASJAUDJX,Tier 6 (<$5K),A51,23-7407695,$645,$0,$645,,
FreedomWorks Inc.,APEYBUPN,,,,$0,$644,$644,Environment,Environment - General
Windsor Islamic Association Foundation,AGUMCNLU,,,,$200,$439,$639,,
Motley Zoo Animal Rescue,AVNXJDMK,Tier 6 (<$5K),D20,26-4338166,$0,$638,$638,Animal Welfare,Animal Welfare - General
DigitalDx Foundation,AZGWFCMJ,,,,$637,$0,$637,,
Seek Safely Inc,AEETQMQP,,,,$521,$114,$635,,
Sea Shepherd Luxembourg a.s.b.l,AZPSYVZK,,,,$415,$211,$626,,
Hear My Cry Foundation,ACTPMHFW,,F40,46-3652341,$626,$0,$626,Healthcare,"Healthcare - Mental Health, Abuse"
Islamic Center of Warren,AJMHRQYA,,X40,45-5387285,$590,$33,$623,Religion,Religion - Islamic
Save Our Children Truth Commission,AXVCEPKQ,Tier 6 (<$5K),,,$369,$242,$611,Religion,Religion - Christian
Gilda's Club Minnesota,AUMMGEHG,Tier 6 (<$5K),,,$450,$158,$609,,
The DROP,APAGNHGK,,,,$607,$0,$607,,
HAPANI,AQDRDKWX,,,,$245,$362,$607,,
Patronato Hospital General Tijuana,ADKEDJMT,,P30: Childrens and Youth Services,,$0,$606,$606,Human Services,Human Services - General
Salam Online,ATPSCJJG,,,,$294,$311,$605,,
Empowered Purpose Foundation,AYFPUKUG,,,,$604,$0,$604,,
Little Hearts Preschool Jerusalem,AVUXYEDN,,,,$0,$603,$603,,
Miles4Migrants,AMMYXMDN,Tier 6 (<$5K),,81-3844393,$270,$333,$603,,
Purpleville,ADZPUFSE,Tier 6 (<$5K),,,$603,$0,$603,Public and Society Benefit,Public & Society Benefit - General
Cranstoun,AFWRDDMW,Tier 2 ($50K–$100K),,,$572,$28,$600,,
Alkarma TV New Zealand,ANQYPKKE,,,,$0,$597,$597,,
Bethany Beyond the Jordan,AYZSEDKW,,,,$593,$0,$593,,
Centro de Derechos Humanos Fray Matías de Córdova,AJAUEJNU,,,,$591,$0,$591,,
Medina Academy,ACXNNPJV,,B21,91-2070446,$0,$591,$591,,
Women United,ARFRTXCT,,P20,30-0750143,$221,$368,$589,,
Fundació Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta (IDIBGI),AQXHVNEY,,,,$589,$0,$589,,
Al Kisa Inc (Australia),AHUGYRZD,,,,$493,$96,$589,,
Save The Animals,AXLWSEEB,Tier 6 (<$5K),,,$0,$589,$589,Animal Welfare,Animal Welfare - General
American Friends of The Erhard-Jensen Initiative,APJVKLJG,Tier 6 (<$5K),,,$50,$538,$588,Education,Education - General
Hosanna High Natural Burial Project,AKDRXLMQ,,T99,92-1880556,$587,$0,$587,Public and Society Benefit,Public & Society Benefit - General
